Content,Page URL,Post media content,Reactions,Comments,Reposts,Poster,Poster_Link,Location
"Friends and family. We are currently under threat of extreme wildfires, all throughout the NWT.  Currently in Yellowknife they are surrounding us and getting closer to town. City of Yellowknife has issued State of Emergency to mobilize all equipment and contractors, to help strengthen the fire lines and the Military has just showed up to help as well.  … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/367993116_638330708276531_1077761067272664389_n.jpg?stp=dst-jpg_p960x960&_nc_cat=105&ccb=1-7&_nc_sid=3635dc&_nc_ohc=IYP80UEDyJAAX8-rwGP&_nc_ht=scontent-iad3-2.xx&oh=00_AfCuUaJiZmXg0TT5E5Z4IFB8lJyh4vuVtiB1YsbF-YzZNw&oe=65E5E45C,18,4 comments,4 comments,Fish'n The Arctic with Ryan Gregory,https://www.facebook.com/FishnTheArctic?__cft__[0]=AZVZSHeo7_E6hHtWwYXzNa_nvnnHBUPk8wXUolqqNhtz4ajOWNrpIE6Gyqv9YoWzyd-Ubt-4SmFaLvBdvTSRxcX_DukyM8tiQuwVnS_hnWcsXD0Ngh31pxciW-yhu90e6v4&__tn__=-]C%2CP-R,"Yellowknife, NT"
"NWT is under fire. Very scary. Surrounded by fires and can’t leave (highway closed), unless fly out or get out on the lake (I don’t have a boat)!  Food, fuel, etc can’t come in (other than by plane). We’ve had 5 communities evacuated. So much devastation. Yellowknife is on an elevated alert (fire around 20km away. .You’ll see in the first photo we are surrounded. Apparently over 1 million hectares has burned. Structures burning and burnt to the ground; pets abandoned,… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/368006473_10160980791076142_7324585916306243033_n.jpg?stp=cp6_dst-jpg_p960x960&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=9XTFoofujiAAX81SZJH&_nc_ht=scontent-iad3-2.xx&oh=00_AfBbtuLfKqXu8xiAZ8WxPmZSRhj6xjM-OE82fajGhpxwlw&oe=65E635D8,75,18 comments,18 comments,Tawna Brown,https://www.facebook.com/tawnab?__cft__[0]=AZXKDVJjuph1LhUOSJEqnPPnUPIMef_pQID3UCHZrZZLhE0w0eR6YDJyFBwsPNS7Gp11duhhVvvUox2ak6T0nTF--xnrsHVz07e1hbAvQlP4l7nIuFJ66S_h-Gg2ixTd2js&__tn__=-]C%2CP-R,"Yellowknife, NT"
"A very rare Facebook update from me. Getting lots of messages and believe it or not, I’m even worse than texting right now than normal (I know, I know) so here’s my response to all of you: Shiri and I left Yellowknife at 12:30 in the morning last night after a weekend of very scary driving between Fort Simpson and Yellowknife. We drove through the night and day today and are headed to my parents in Calgary where we’re expected to arrive late tonight. At 7:30pm this evening,… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/367715902_3292671697545994_4776952191591410386_n.jpg?stp=cp6_dst-jpg_p960x960&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=q_dmryPBpeoAX-YmFkG&_nc_ht=scontent-iad3-1.xx&oh=00_AfCxWQhnjTXVfzykHEGRwEYOM8EoIe97EcQOKj57fimdtg&oe=65E579C9,111,17 comments,17 comments,Megan Miskiman,https://www.facebook.com/megan.miskiman.7?__cft__[0]=AZWG7n1YQX1SXEDsKyZWGi0nRp9s9wUEb13Hd7ZtRcLcT6_vtnNt9GfnPznINwedM-ZLwotkFTr-TTc9litJ1O21Sp9XbcZ6E-HQSL0nunpJFQqAf9S9wKQYxvDIJNhcUlE&__tn__=-]C%2CP-R,"Yellowknife, NT"
"So, this week has been one to remember. It’s going to take a while to unpack everything that’s happened, but there’s some real optimism that Yellowknife is going to pull through this.I’m still up here supporting the ground effort with 440 Sqn. I can not begin to describe how proud I am with how everyone has responded to this chaos. The effort to build a fire brake all they way around our city was truly spectacular. Thank you to everyone that stayed behind to make that happp… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/369198567_10160891999727622_8747628474830299079_n.jpg?stp=cp6_dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=aid07xNUTToAX-N0xRC&_nc_ht=scontent-iad3-2.xx&oh=00_AfAptazu4bLalyMA_2wigLPCir8klLUN0kLYv2tKMDzVgA&oe=65E6A733,100,17 comments,17 comments,Brian Peers,https://www.facebook.com/kraftyb?__cft__[0]=AZXWpgiWCEGiNatFdTaKQC4SZwIrClC0mOoybMJ4uxJuo_PUDEhfi0Vg_EiUsL_TN5vZZAX0z8ejreQOGKB-V07S9L-kGviBesJbF5ih2u5-bpH8zk6gPQ18EY1zSVtKtAg&__tn__=-]C%2CP-R,"Yellowknife, NT"
"Campfire breakfast, on a perfect day for it.(The city lifted the fire ban this week, and it rained almost every day, until the sun rose this morning in a clear sky)",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/385817599_6766650860069298_5946111264933363985_n.jpg?stp=dst-jpg_p960x960&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=RlT62DkqLboAX_fQ1eM&_nc_ht=scontent-iad3-2.xx&oh=00_AfAA7ZPw4Kh-XE1lUdA2d9USRDSO10nENQ_YVije2CS22w&oe=65E582F3,9,,,Sean Fowler,https://www.facebook.com/sean.tex.fowler?__cft__[0]=AZW5wFvLDSAiMe5HpaV1Tlfmu_AJwQnjhWzzbC6dcsdLyEHNXrStcI_fChCrQZ17b9tMDDj8pD9TxgwnOw0UBjVyh6iSMOPflxqkCRu3OMG8ESb0j4PY05wPT6cegM32o-s&__tn__=-]C%2CP-R,Yellowknife River
What are the type of Borealis we saw on 2nd night at 黄刀镇 yellowknife?The whole week was engulfed by wildfire and unfortunately our flight out is cancelled (air canada seems unreliable). hopefully we can catch 1 more dancing lights with our Guide Bill before flying out tmr morning.,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/382781756_10160797300333490_9116528855552111024_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=b0XSC5ClMMsAX-8J9DP&_nc_ht=scontent-iad3-1.xx&oh=00_AfCroRqEKq_svQNcFTZ33A5kZcgZ3svvEXbu4qWnBjpt2A&oe=65E65675,45,10 comments,10 comments,Lawrence See,https://www.facebook.com/lawrence.scr?__cft__[0]=AZVFUa6TOpAto9oKomRy40mf0QjQeggBtwBJJ1_YKQaOJghHdh703mWw8BcR2tghHqe_vgkwZ0Vp0mxNLF5ZYv0pW02Lq0WijzMWW8S37osbU7K69IkyibkM0m2ujI_Rpek&__tn__=-]C%2CP-R,"Aurora Village, Yellowknife, Northwestern Territories"
Sunday night feeding the troops.  Fire towards Yellowknife held at 15 km with successful suppression work and lighter winds than expected.@jeff_oldfield#acastaheliflight #acastaheli #homeofthegneissguys #wildfire #helicopters #nwt#fireseason2023 #nwtfire #stateofemergency  #essentialworkers #familydinner #feedingthetroops,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/369176088_766621928806823_6234140503368242473_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=xt4bEOlyPZIAX-Cr5WA&_nc_ht=scontent-iad3-1.xx&oh=00_AfBKIiMR0hAbUQ5qlUcGVepGuwy_4jIiPImb5XZhdLbhgQ&oe=65E580FF,96,11 comments,11 comments,Acasta HeliFlight Inc.,https://www.facebook.com/acastaheli?__cft__[0]=AZUz9x8KMRlQvFO819dTrutvlcPiqOAUaHwtHiWf6ZZSG01FMFXSkRQCV-XgDnXu-rKZXOy8t7auawm5IHYzlJlxjSnTWFBZCUi9uwej5iVMbangDVIWlH3eugK1zP4H9QM&__tn__=-]C%2CP-R,Acasta HeliFlight Inc.
"Currently waiting at work now, probably helping with one or two more flights, then I THINK I might be borrowing a reliable vehicle and most of us still working today will likely drive south tonight or early tomorrow, depending on conditions. If the fire closes the highway, the company has seats reserved for us on one of the last flights tomorrow. Worst case, there are limited shelter-in-place spaces available for essential personnel here.",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,,18,10 comments,10 comments,,,
Going to the scene of our camper accident brought a lot of closure for me.  I had packed my late dad’s jacket into the camper to save it from the fire but lost it in the accident.  We had big plans to camp and travel during evacuation but God had plans for us to serve Northerners.  My heart sang praise to God Almighty and grateful he saved the life of the driver.,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/379876221_10159024452171739_5198607240140663151_n.jpg?stp=cp6_dst-jpg_p960x960&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=3751Z0T4sBsAX89RPmn&_nc_oc=AQlE-WgBaWR6NMdtB81ChPsCcZkCnYXOgcN547no0WjTYFic7e742vDD-v7UunI-1Ss&_nc_ht=scontent-iad3-2.xx&oh=00_AfACSElIY_GkfRD5gmVIJK9HsxCIFZMsWjUBF1VN8ooyZQ&oe=65E58AF4,106,69 comments,69 comments,Chenai Cynthia Mufandaedza-Moyo,https://www.facebook.com/cmufandaedzamoyo?__cft__[0]=AZWHaBlPf5dVFXvFEgJMqEcXlKU9C-psSYyyJFzN3KlyTcDVF_iZukyP0m-03Mw88F3MV2OWM1yqbvmaZL4lPxrWqZYeKYzKancj8RB3WPpLDC_2EGB7yzOH7srseQonh6k&__tn__=-]C%2CP-R,"Yellowknife, NT"
"Good morning from Yellowknife. I got an extra hour of sleep this morning, I'm pretty happy about that. Blue skies over the capital and lots of smoke in the air. It's expected to reach 20⁰ this afternoon, which is not what we want. I'm hopeful the window for fire ground attack is still open  #nwtpoli #nwt #yzf #wildfires",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/369050823_10159941883196302_2708328237760666329_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=NivTsqeBZIQAX8_VbaS&_nc_ht=scontent-iad3-1.xx&oh=00_AfA7yFuJ7g6TKUwYHGELJNooHW37mXC3wBNLGy_-asdRdA&oe=65E66143,51,10 comments,10 comments,Kieron Testart,https://www.facebook.com/profile.php?id=581601301&__cft__[0]=AZVyhUxg0b4D3VQGEkLJ6AkjH0P-_R0RQDCVV9h5FxnU7ST5qV_hSuL5vMJT7OpE1zje4oTVEVzWyXKTehxt26GSRgeMq66dts6ZsZE1NwKXVvZ-2RIWM_kB6WkkFRTdPig&__tn__=-]C%2CP-R,"Yellowknife, NT"
"Good morning from Yellowknife. It's going to be a very smokey day, with winds blowing smoke from the South Slave. Hopefully this doesn't impact fire operations too much and more progress can be made. We're still working on getting people home safety with a re-entry plan and connecting evacuees to critical resources. Stay strong, stay safe #nwt #yzf #ykdfn #wildfires",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/370549922_10159950793621302_3246888445719525555_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=R7tdkEotkYAAX8z4N2I&_nc_ht=scontent-iad3-1.xx&oh=00_AfCsBzRNOsM9tw2DOMVLt2arWFhcbr-Su4YEC0P6KWEvcw&oe=65E615BA,22,8 comments,8 comments,Kieron Testart,https://www.facebook.com/profile.php?id=581601301&__cft__[0]=AZW_ccmGFIH0FF9o2RHiY5jmQGvDVUkTl67Ief5w9AmY9DfSA2gFTGiuxUB7MkqVmN65yEDwd87bUpD8nKvhlSxKSB2oJp7Lj5I4mwO0Vb2Zsvb7nW3U6UJT72lFK8shyMM&__tn__=-]C%2CP-R,"Yellowknife, NT"
Calm before the storm! Fire is now 15 km northwest of Yellowknife. #acastaheliflight #acastaheli #homeofthegneissguys #as350b2 #as350b3 #bell407 #wildfire #helicopters #nwt #fireseason2023 #nwtfire #stateofemergency #teamwork #family #essentialworkers,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/368028176_18076291876385097_5866547738235940476_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=WHaIO-zWPMAAX9qWGbZ&_nc_ht=scontent-iad3-2.xx&oh=00_AfAZhXcouhg2hLqcvhCOjhWmLbD2depTSzSJVl_I3sxQFQ&oe=65E4DF57,73,11 comments,11 comments,Acasta HeliFlight Inc.,https://www.facebook.com/acastaheli?__cft__[0]=AZVL8glmu8yaWF8pq5JYUGRQWJmXuPZxe_UpmXVh3IrgvbDyRICAYvk9Ja5lSnCoaXtsu3w1F3HGD_5fgPaOTzpC1Yq4tayyGAbC3lY0hjELO2uqMRU8FVQmUHpF4X1Sr-0&__tn__=-]C%2CP-R,Acasta HeliFlight Inc.
"I'm born and raised St.Thomas and moved to Yellowknife, NWT 4 years ago. Please pray or put positive energy out to save the territory. We really need it as all of us had to evacuate and are praying our homes are there when we return. For context - it took me 16 hours straight drive and over 1,100km to find a place to stay for the night due to the fact it was the nearest city that wasn't full, and was pet friendly. The rest were evacuated by plane and military. As of today, 19… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9IiwicnBfYXV0aG9yOjAiOiJ7XCJuYW1lXCI6XCJtZXJnZWRfcHVibGljX3Bvc3RzXCIsXCJhcmdzXCI6XCJcIn0iLCJycF9sb2NhdGlvbjowIjoie1wibmFtZVwiOlwibG9jYXRpb25cIixcImFyZ3NcIjpcIjExNDQ1OTk5ODU3MTE4MlwifSJ9,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/368834084_10168275882865495_6301070625972545304_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c42490&_nc_ohc=jP-P008PATEAX-OtiQr&_nc_ht=scontent-iad3-2.xx&oh=00_AfA8cn7kcV8nStWeMERB_lN8FRftDqsD5RWEEwSfFhtL-g&oe=65E60A49,171,34 comments,34 comments,,,
